appid,reviewId,charLen,isPositive,tokens_in_review,zero_hit,pairIndex,type,Flow_count,Utility_count,Nostalgia_count,Flow_prop,Utility_prop,Nostalgia_prop,Flow_per_100,Utility_per_100,Nostalgia_per_100,Flow_share,Utility_share,Nostalgia_share,None_share
415880,47207636,6083,0,1004,False,1,top,3,4,9,0.1875,0.25,0.5625,0.29880478087649404,0.398406374501992,0.8964143426294822,0.00298804780876494,0.00398406374501992,0.008964143426294821,0.9840637450199203
415880,47137222,16,1,4,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,47083245,49,1,7,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,46471290,109,1,16,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,46417718,31,1,6,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,46357826,496,1,83,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,46331029,17,1,3,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,46134059,10,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,33530846,176,1,20,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,45636811,86,0,16,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,45573769,40,0,8,False,1,top,1,0,0,1.0,0.0,0.0,12.5,0.0,0.0,0.125,0.0,0.0,0.875
415880,45031658,320,1,55,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,45021990,27,1,4,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,45010482,59,1,11,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,44959645,53,1,7,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,30402761,14,0,3,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,44218799,176,1,34,False,1,top,0,0,1,0.0,0.0,1.0,0.0,0.0,2.941176470588235,0.0,0.0,0.029411764705882353,0.9705882352941176
415880,43994011,353,1,58,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43595405,2131,1,400,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43517863,195,1,35,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43437029,6,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43411130,47,1,9,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43316659,366,1,61,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43313321,243,0,46,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,33541757,176,0,29,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43247631,185,1,34,False,1,top,0,1,0,0.0,1.0,0.0,0.0,2.941176470588235,0.0,0.0,0.029411764705882353,0.0,0.9705882352941176
415880,43204830,139,0,26,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43173165,259,0,43,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,41492268,547,0,96,False,1,top,0,1,0,0.0,1.0,0.0,0.0,1.0416666666666665,0.0,0.0,0.010416666666666666,0.0,0.9895833333333334
415880,43091569,61,1,11,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,43053823,48,0,8,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,42957848,105,1,16,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,42894663,33,1,7,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,42544882,623,0,110,False,1,top,0,1,0,0.0,1.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.00909090909090909,0.0,0.990909090909091
415880,42489824,42,1,7,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,42294593,2031,1,351,False,1,top,1,0,0,1.0,0.0,0.0,0.2849002849002849,0.0,0.0,0.002849002849002849,0.0,0.0,0.9971509971509972
415880,42267073,52,1,10,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,42192571,361,1,72,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,41862483,55,1,9,False,1,top,0,0,1,0.0,0.0,1.0,0.0,0.0,11.11111111111111,0.0,0.0,0.1111111111111111,0.8888888888888888
415880,41668416,23,1,4,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,41595388,21,1,5,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,33570962,79,1,17,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40939144,41,1,8,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40885263,194,1,40,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40798379,397,1,66,False,1,top,1,0,0,1.0,0.0,0.0,1.5151515151515151,0.0,0.0,0.015151515151515152,0.0,0.0,0.9848484848484849
415880,40794300,181,1,27,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40434207,46,0,8,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40398522,41,1,7,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,40379101,8,1,3,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
