appid,reviewId,cluster_id,cluster_size
1273440,117299490,2,25
1273440,117308419,6,26
1273440,117447354,5,21
1273440,117610842,8,25
1273440,117694860,2,25
1273440,117743855,6,26
1273440,117943599,1,19
1273440,118180061,10,4
1273440,118271337,5,21
1273440,118356795,2,25
1273440,118535794,5,21
1273440,118547954,10,4
1273440,118632798,8,25
1273440,118732863,8,25
1273440,118804884,2,25
1273440,118874623,8,25
1273440,119349068,1,19
1273440,119454969,1,19
1273440,119619361,8,25
1273440,119742663,0,7
1273440,119978065,8,25
1273440,119980318,6,26
1273440,120353604,5,21
1273440,120481687,5,21
1273440,120492562,1,19
1273440,120753298,6,26
1273440,121358731,0,7
1273440,121759727,6,26
1273440,121962767,2,25
1273440,121978552,1,19
1273440,122313305,6,26
1273440,122654012,2,25
1273440,122801084,5,21
1273440,122880542,3,6
1273440,123866725,5,21
1273440,123898277,3,6
1273440,124188946,8,25
1273440,124346536,8,25
1273440,124730952,7,10
1273440,124861376,8,25
1273440,125371051,6,26
1273440,125678703,8,25
1273440,125733567,2,25
1273440,126411329,6,26
1273440,126444709,7,10
1273440,127083870,6,26
1273440,127117080,3,6
1273440,127649338,8,25
1273440,127673979,10,4
1273440,127736567,2,25
1273440,128137925,8,25
1273440,128222378,5,21
1273440,128363529,5,21
1273440,128869815,0,7
1273440,129375465,8,25
1273440,129919198,3,6
1273440,130059291,5,21
1273440,130134868,6,26
1273440,131135361,2,25
1273440,131306929,8,25
1273440,132655626,4,2
1273440,132790709,7,10
1273440,133534593,8,25
1273440,133977846,6,26
1273440,134111150,8,25
1273440,134246785,7,10
1273440,134563489,8,25
1273440,136245437,1,19
1273440,136841460,3,6
1273440,137458151,8,25
1273440,137531735,5,21
1273440,137783791,6,26
1273440,138627624,5,21
1273440,138695553,6,26
1273440,139520744,1,19
1273440,140968733,8,25
1273440,142512446,6,26
1273440,142799555,1,19
1273440,144931458,5,21
1273440,145699497,5,21
1273440,146362589,8,25
1273440,146799383,1,19
1273440,146985792,11,3
1273440,148310699,2,25
1273440,149231315,6,26
1273440,149236252,2,25
1273440,149594092,5,21
1273440,150878724,6,26
1273440,151461898,5,21
1273440,151468745,7,10
1273440,151495991,7,10
1273440,152256048,6,26
1273440,152412450,2,25
1273440,152967924,1,19
1273440,153450270,2,25
1273440,154319256,2,25
1273440,154480726,7,10
1273440,155199831,2,25
1273440,155251220,7,10
1273440,156328518,2,25
1273440,157217231,10,4
1273440,157249051,11,3
1273440,157493473,2,25
1273440,160025079,5,21
1273440,160281205,2,25
1273440,160682344,7,10
1273440,160706634,8,25
1273440,162759199,6,26
1273440,162812826,4,2
1273440,163527360,0,7
1273440,163552258,8,25
1273440,165025665,1,19
1273440,165154609,7,10
1273440,166626066,2,25
1273440,168764921,8,25
1273440,169592603,1,19
1273440,170544797,3,6
1273440,171647541,6,26
1273440,173899252,5,21
1273440,175352489,2,25
1273440,176670635,0,7
1273440,177272490,5,21
1273440,179677202,6,26
1273440,182940283,2,25
1273440,186051661,9,2
1273440,188514970,0,7
1273440,191330048,6,26
1273440,193422189,1,19
1273440,196543015,6,26
1273440,196663757,2,25
1555650,101496341,3,7
1555650,101517012,2,9
1555650,101517193,7,21
1555650,101555442,5,10
1555650,101583602,2,9
1555650,101625350,2,9
1555650,101696371,7,21
1555650,101738657,1,3
1555650,101768684,2,9
1555650,101808329,7,21
1555650,101853602,2,9
1555650,101907617,7,21
1555650,101928635,2,9
1555650,101968623,7,21
1555650,106127002,7,21
1555650,106563303,1,3
1555650,107015640,7,21
1555650,107422994,7,21
1555650,108765442,5,10
1555650,110676666,7,21
1555650,113454438,7,21
1555650,114331319,5,10
1555650,115161271,7,21
1555650,116169232,3,7
1555650,117281748,7,21
